DYRK1A,ITSN1,BDNF,NR1,NR2A,pAKT,pBRAF,pCAMKII,pCREB,pELK,pERK,pJNK,PKCA,pMEK,pNR1,pNR2A,pNR2B,pPKCAB,pRSK,AKT,BRAF,CAMKII,CREB,ELK,ERK,GSK3B,JNK,MEK,TRKA,RSK,APP,Bcatenin,SOD1,MTOR,P38,pMTOR,DSCR1,AMPKA,NR2B,pNUMB,RAPTOR,TIAM1,pP70S6,NUMB,P70S6,pGSK3B,pPKCG,CDK5,S6,ADARB1,AcetylH3K9,RRP1,BAX,ARC,ERBB4,nNOS,Tau,GFAP,GluR3,GluR4,IL1B,P3525,pCASP9,PSD95,SNCA,Ubiquitin,pGSK3B_Tyr216,SHH,pS6,SYP,CaNA,class_label
0.3585,0.5773,0.3271,2.0896,3.1337,0.3168,0.2251,4.1387,0.2266,1.4176,0.4046,0.336,0.3594,0.3221,0.7468,0.6182,1.5211,1.0896,0.4176,0.6809,0.3478,0.496,0.2062,0.8335,1.6992,1.0248,0.2544,0.2896,0.6729,0.1967,0.4593,1.879,0.6392,0.5294,0.625,0.9657,0.7196,0.3851,0.6699,0.3505,0.3863,0.4371,0.4336,0.1317,0.7615,0.1489,1.4053,0.3105,0.2951,1.0906,0.0934,0.1632,0.1638,0.1416,0.1699,0.1752,0.1697,0.1301,0.2834,0.1379,0.6788,0.302,1.6335,2.3902,0.214,1.4826,0.9185,0.2581,0.1416,0.4608,1.0138,1
0.2269,0.3954,0.2487,1.4607,1.8601,0.1885,0.149,2.179,0.1654,0.7701,0.2608,0.2345,0.2224,0.2181,0.535,0.4342,0.9012,1.0321,0.433,0.6144,0.2072,0.3066,0.1479,0.7582,1.5405,0.8109,0.1935,0.2294,0.4938,0.1406,0.3483,1.4589,0.8651,0.365,0.3484,0.5341,0.4422,0.2472,0.4451,0.2491,0.2385,0.3296,0.4514,0.1736,0.7003,0.1618,2.3372,0.3083,0.5515,0.7624,0.3352,0.1818,0.1719,0.1227,0.1532,0.1708,0.2686,0.1321,0.2312,0.1539,0.5862,0.3069,1.3954,2.0063,0.168,1.1561,0.8533,0.2783,0.1227,0.4003,1.1607,1
0.5962,0.8219,0.3046,2.3777,4.1688,0.1755,0.1451,2.0518,0.1929,1.5538,0.8391,0.2677,0.2721,0.2168,0.9107,0.6683,1.7111,1.3979,0.3276,0.7042,0.4303,0.3225,0.1394,1.3504,3.059,1.3526,0.2067,0.2458,0.6869,0.1225,0.4469,2.0667,0.2907,0.4252,0.3037,0.6962,0.5694,0.3361,0.5128,0.3917,0.2597,0.4171,0.1427,0.2267,1.2577,0.1594,0.8034,0.292,0.5946,1.9139,0.0804,0.1555,0.1714,0.1137,0.1654,0.1538,0.2452,0.1151,0.2346,0.1343,0.4988,0.2699,1.7117,2.1758,0.1287,0.961,0.8281,0.1934,0.1137,0.3964,1.4995,1
0.4717,0.6973,0.3715,2.4727,4.652,0.2782,0.2155,2.5925,0.2446,1.7582,0.7605,0.3569,0.3606,0.3084,0.8961,0.741,1.765,1.7678,0.4162,0.8426,0.4681,0.4834,0.2153,1.2693,3.2128,1.4061,0.2894,0.3066,0.7847,0.1961,0.3823,2.1327,0.3734,0.5907,0.4557,0.8582,0.7735,0.4548,0.7053,0.4891,0.4129,0.483,0.2098,0.1828,0.9518,0.173,0.7787,0.321,0.483,1.4349,0.1068,0.1792,0.1872,0.1131,0.1634,0.1806,0.2178,0.1221,0.1702,0.0993,0.509,0.3336,1.3944,2.0666,0.1859,1.4262,0.8839,0.2203,0.1131,0.547,1.5619,0
0.3542,0.4859,0.3561,1.9551,2.8648,0.2889,0.2261,4.6999,0.228,1.1866,0.4172,0.3311,0.3731,0.3319,0.7074,0.6757,1.3001,1.7496,0.5202,0.647,0.3153,0.3644,0.2061,0.9162,2.0817,1.0331,0.2383,0.2899,0.6304,0.1963,0.4124,1.9203,0.5886,0.4255,0.3844,0.7122,0.5853,0.3186,0.5258,0.3586,0.3207,0.386,0.3929,0.149,0.8082,0.1772,2.3435,0.2743,0.2792,1.1064,0.1971,0.1803,0.1716,0.1146,0.1555,0.1546,0.1786,0.123,0.1777,0.1051,0.5575,0.276,1.8249,1.9807,0.1487,1.3231,0.9123,0.2339,0.1146,0.4908,1.2719,1
0.5466,0.679,0.3238,2.2885,3.1702,0.2819,0.2083,3.0759,0.2252,1.4715,0.6604,0.3452,0.3707,0.3099,0.8354,0.5456,1.4269,2.0986,0.5703,0.5671,0.5129,0.4092,0.2191,0.9806,1.9478,1.3144,0.324,0.2789,0.7307,0.2015,0.59,1.8359,0.319,0.4592,0.4165,0.7045,0.62,0.3333,0.5915,0.3802,0.3026,0.3515,0.6692,0.165,0.8604,0.1683,2.6116,0.2707,0.5649,1.0875,0.2144,0.3915,0.1553,0.1111,0.1548,0.2178,0.1991,0.1278,0.2067,0.0865,0.5603,0.2894,1.7948,2.207,0.1563,1.2272,1.0415,0.2813,0.1111,0.4524,1.53,0
0.6298,0.7418,0.2354,1.795,2.7728,0.1879,0.1861,1.9583,0.1783,1.4636,0.9676,0.2624,0.232,0.2152,0.6591,0.5566,1.2808,0.9292,0.3345,0.5297,0.6249,0.2979,0.1497,0.7928,2.0464,1.0018,0.2098,0.2283,0.4871,0.1435,0.4408,1.5637,0.2899,0.4286,0.3935,0.695,0.5969,0.3239,0.4874,0.3574,0.2775,0.3875,0.1832,0.151,1.0314,0.1341,0.6664,0.2522,0.4228,0.7671,0.0819,0.1355,0.1601,0.1049,0.1368,0.1865,0.2004,0.1084,0.2283,0.1114,0.5368,0.2386,1.4785,1.9038,0.1248,0.9604,0.7935,0.2208,0.1049,0.3245,1.4932,1
0.4662,0.6623,0.372,2.1951,4.3813,0.3008,0.2134,3.9762,0.2254,1.8671,0.7276,0.3758,0.4139,0.3246,0.806,0.9317,1.5753,2.6101,0.5582,0.6962,0.5176,0.4201,0.2311,1.185,2.4287,1.3067,0.2867,0.3151,0.7455,0.1913,0.4493,2.1007,0.3914,0.561,0.4997,0.8664,0.8391,0.4628,0.6493,0.4643,0.4432,0.5719,0.5311,0.1511,0.7718,0.1709,2.4448,0.2846,0.281,1.7733,0.2929,0.1868,0.1919,0.1081,0.1474,0.1549,0.1655,0.133,0.1621,0.0987,0.4353,0.3227,1.4131,1.8749,0.1504,1.1579,0.7342,0.2315,0.1081,0.397,1.3058,0
0.2355,0.4298,0.2968,2.4618,3.6484,0.2569,0.1993,2.5619,0.232,1.9373,0.294,0.3455,0.2764,0.3083,0.8651,0.7069,1.6242,1.1835,0.4402,0.7535,0.2778,0.419,0.2005,1.0322,2.4693,1.0691,0.2517,0.2905,0.7377,0.2063,0.3231,2.2606,0.8773,0.4317,0.3868,0.7098,0.5678,0.3443,0.5417,0.2787,0.2794,0.3417,0.3528,0.1491,0.9004,0.1428,1.2168,0.2509,0.2788,0.8935,0.0645,0.1386,0.1542,0.1184,0.1493,0.1717,0.1284,0.1011,0.1969,0.0872,0.4859,0.258,1.4957,2.3798,0.1431,1.3334,0.7725,0.2069,0.1184,0.4629,1.2997,0
0.4266,0.6064,0.3514,2.5269,4.5217,0.2461,0.1906,3.9182,0.2039,1.2126,0.6051,0.3428,0.376,0.27,0.8912,0.846,1.6923,2.3516,0.5354,0.6274,0.3879,0.3536,0.1895,1.0877,2.6175,1.4038,0.2731,0.2844,0.8501,0.1755,0.4113,2.3038,0.35,0.4547,0.3527,0.7377,0.5376,0.347,0.5593,0.3667,0.3002,0.3858,0.4806,0.1827,0.7948,0.1553,2.1963,0.3148,0.3707,1.615,0.1305,0.1461,0.1808,0.1139,0.1474,0.1748,0.1505,0.1205,0.2168,0.1084,0.4545,0.3203,1.4066,2.3908,0.1387,1.1167,0.8544,0.2118,0.1139,0.4884,1.9782,1
0.6054,0.8757,0.3128,2.1846,3.6768,0.2253,0.1891,2.1546,0.2131,1.7798,0.7796,0.2754,0.3236,0.2663,0.7155,0.3991,1.3652,1.4956,0.4817,0.5357,0.6532,0.3617,0.2088,0.8816,2.2392,1.4709,0.2729,0.2677,0.762,0.18,0.4492,2.1258,0.3191,0.3811,0.3083,0.6334,0.5405,0.3164,0.4945,0.2847,0.2499,0.3464,0.4509,0.1495,0.743,0.1541,1.8325,0.2715,0.3371,0.8172,0.1543,0.141,0.1586,0.0961,0.129,0.1651,0.1745,0.1011,0.2017,0.101,0.4117,0.2541,1.1755,2.2272,0.1139,0.9629,0.8414,0.1887,0.0961,0.3399,1.6583,1
0.4477,0.7099,0.2947,2.0769,3.398,0.1812,0.1467,2.655,0.2094,1.3245,0.5038,0.248,0.2994,0.2176,0.7299,0.5131,1.3515,1.919,0.4424,0.6045,0.3724,0.3284,0.1578,1.3601,2.3042,1.2063,0.2166,0.2284,0.7009,0.1387,0.4431,2.0155,0.2967,0.2579,0.269,0.2141,0.2565,0.2947,0.221,0.3231,0.2402,0.3872,0.4358,0.2147,1.0243,0.1686,2.8461,0.3182,0.6955,1.2281,0.4851,0.1631,0.1895,0.1106,0.1456,0.1761,0.2733,0.1263,0.2348,0.1317,0.5036,0.3231,1.3896,2.0542,0.1409,1.1466,0.8751,0.2262,0.1106,0.3679,1.4553,1
